product_id,name,short_description,categoria
9840811,Bandeja Prato Retangular - Descartável - 5 Unidades,Bandeja Prato Retangular - Descartável - 5 Unidade,padrao_novo
9814477,Boleira Desmontável G 28x22cm – Sustentável e Reutilizável,"Boleira desmontável grande, ideal para bolos maior",padrao_novo
9814449,Boleira Desmontável M 20x16cm – Sustentável e Reutilizável,"Boleira desmontável média, resistente e sustentáve",padrao_novo
9814474,Boleira Desmontável P 12x10cm – Sustentável e Reutilizável,"Boleira desmontável pequena, resistente e ecológic",padrao_novo
9838886,Canudo de Papel Listrado 197mm – Pacote com 12 Unidades,"Canudos de papel biodegradável, resistentes e com ",padrao_novo
9882911,Vela Pick - Prata - N1,Vela Pick para bolo com visual moderno. Vela Pick ,padrao_novo
9882937,Prato de Papel Coração Vermelho,Prato de papel descartável para festas: Prato de P,padrao_novo
9834079,Colher Eco Madeira Estampada – 10 Unidades,Colher Eco Madeira Estampada – 10 Unidades. Talher,padrao_novo
9834099,Colher Sobremesa Eco Madeira Estampada – 10 Unidades,Colher Sobremesa Eco Madeira Estampada – 10 Unidad,padrao_novo
9908878,Copo de Papel Liso 270ml – Pacote com 10 Unidades,,padrao_novo
9864638,Copo de Papel Poá Amarelo 270ml – 10 Unidades,Copo de papel poá amarelo 270ml. Ideal para festas,padrao_novo
9864656,Copo de Papel Poá Azul 270ml – 10 Unidades,"Copo de papel poá Azul 270ml. Ideal para festas, a",padrao_novo
9864661,Copo de Papel Poá Azul Marinho 270ml – 10 Unidades,Copo de papel poá Azul Marinho 270ml. Ideal para f,padrao_novo
9864659,Copo de Papel Poá Rosa 270ml – 10 Unidades,"Copo de papel poá rosa 270ml. Ideal para festas, a",padrao_novo
9864631,Copo de Papel Poá Vermelho 270ml – 10 Unidades,Copo de papel poá vermelho 270ml. Ideal para festa,padrao_novo
9864671,Copo de Papel Xadrez Amarelo 270ml – 10 Unidades,Copo de papel xadrez amarelo 270ml. Ideal para fes,padrao_novo
9864667,Copo de Papel Xadrez Azul 270ml – 10 Unidades,Copo de papel xadrez azul 270ml. Ideal para festas,padrao_novo
9864669,Copo de Papel Xadrez Verde 270ml – 10 Unidades,Copo de papel xadrez verde 270ml. Ideal para festa,padrao_novo
9864666,Copo de Papel Xadrez Vermelho 270ml – 10 Unidades,Copo de papel xadrez vermelho 270ml. Ideal para fe,padrao_novo
9882921,Prato de Papel Liso - Vermelho,Prato de papel descartável para festas: Prato de P,padrao_novo
9833627,Cortina Metalizada Decorativa 100x200cm,Cortina Metalizada Decorativa 100x200cm. Cortina m,padrao_novo
9834059,Faca Eco Madeira Estampada – 10 Unidades,Faca Eco Madeira Estampada – 10 Unidades. Talheres,padrao_novo
9882955,Vela Pick - Branca - N3,Vela Pick para bolo com visual moderno. Vela Pick ,padrao_novo
9834037,Garfo Eco Madeira Estampado – 10 Unidades,Garfo Eco Madeira Estampado – 10 Unidades. Talhere,padrao_novo
9882954,Prato de Papel Halloween Morcegos,Prato de papel descartável para festas: Prato de P,padrao_novo
9882931,Prato de Papel Happy Birthday - Colorido,Prato de papel descartável para festas: Prato de P,padrao_novo
9868542,Guardanapo de Papel Liso 33x33cm – 20 Unidades,"Guardanapo de papel liso 33x33cm, folha dupla. Ide",padrao_novo
9868513,Guardanapo de Papel Xadrez Verde 33x33cm – 20 Unidades,"Guardanapo de papel xadrez verde 33x33cm, folha du",padrao_novo
9868563,Guardanapo de Papel Listrado 33x33cm  – 20 Unidades,"Guardanapo de papel listrado 33x33cm, folha dupla.",padrao_novo
9868536,Guardanapo de Papel Xadrez Amarelo 33x33cm – 20 Unidades,"Guardanapo de papel xadrez amarelo 33x33cm, folha ",padrao_novo
9868526,Guardanapo de Papel Xadrez Azul 33x33cm – 20 Unidades,"Guardanapo de papel xadrez azul 33x33cm, folha dup",padrao_novo
